日期,本地时间,服务器时间,交易所时间,万得代码,原始代码,业务发生日(自然日), 委托号, 委托价格, 委托数量, 委托类别, 委托代码, 经纪商编码, 委托状态, 标志
20160913,135448054,135448054,135327000,430002.PT,430002,20160913,99996049,101900,10000,66(B),0( ),720800,49(1),32( )
20160913,135448054,135448054,133227000,430004.PT,430004,20160913,99996287,15500,55000,83(S),0( ),725300,49(1),32( )
20160913,135448054,135448054,135334000,430005.PT,430005,20160913,99996048,245000,10000,83(S),0( ),721700,49(1),32( )
20160913,135448054,135448054,132613000,430009.PT,430009,20160913,99996349,40800,20000,66(B),0( ),721200,49(1),32( )
20160913,135448054,135448054,131902000,430010.PT,430010,20160913,99996446,35700,9000,83(S),0( ),728010,49(1),32( )
20160913,135448054,135448054,111343000,430015.PT,430015,20160913,99996907,50000,19000,83(S),0( ),727700,49(1),32( )
20160913,135448054,135448054,111353000,430016.PT,430016,20160913,99996905,44600,17000,83(S),0( ),721800,49(1),32( )
20160913,135448054,135448054,100025000,430017.PT,430017,20160913,99998099,175000,1000,66(B),0( ),720100,49(1),32( )
20160913,135448054,135448054,130003000,430025.PT,430025,20160913,99996642,40000,2000,83(S),0( ),721800,49(1),32( )
20160913,135448054,135448054,100944000,430028.PT,430028,20160913,99997849,40000,5000,83(S),0( ),722700,49(1),32( )
20160913,135448054,135448054,103346000,430047.PT,430047,20160913,99997423,175000,2000,83(S),0( ),720300,49(1),32( )
20160913,135448054,135448054,110328000,430048.PT,430048,20160913,99997032,36000,40000,83(S),0( ),720700,49(1),32( )
20160913,135448054,135448054,111521000,430056.PT,430056,20160913,99996886,58000,10000,66(B),0( ),722900,49(1),32( )
20160913,135448054,135448054,111210000,430061.PT,430061,20160913,99996928,39900,4000,83(S),0( ),722500,49(1),32( )
20160913,135448054,135448054,132154000,430064.PT,430064,20160913,99996407,31400,9000,83(S),0( ),728010,49(1),32( )
20160913,135448054,135448054,133103000,430092.PT,430092,20160913,99996298,110000,3000,83(S),0( ),720100,49(1),32( )
20160913,135448054,135448054,131238000,430095.PT,430095,20160913,99996505,1000,6000,66(B),0( ),725300,49(1),32( )
20160913,135448054,135448054,134840000,430102.PT,430102,20160913,99996106,10000,2000,66(B),0( ),721700,49(1),32( )
20160913,135448054,135448054,104155000,430107.PT,430107,20160913,99997312,260000,10000,83(S),0( ),721100,49(1),32( )
20160913,135448054,135448054,111403000,430123.PT,430123,20160913,99996903,35600,3400,83(S),0( ),721800,49(1),32( )
20160913,135448054,135448054,131940000,430127.PT,430127,20160913,99996433,120000,20000,83(S),0( ),723200,49(1),32( )
20160913,135448054,135448054,134005000,430134.PT,430134,20160913,99996186,10000,1000,66(B),0( ),721700,49(1),32( )
20160913,135448054,135448054,105551000,430137.PT,430137,20160913,99997145,80000,140000,83(S),0( ),721100,49(1),32( )
20160913,135448054,135448054,132300000,430143.PT,430143,20160913,99996392,20000,30000,83(S),0( ),720300,49(1),32( )
20160913,135448055,135448055,105642000,430146.PT,430146,20160913,99997131,40000,19000,83(S),0( ),721700,49(1),32( )
20160913,135448055,135448055,133819000,430156.PT,430156,20160913,99996207,110000,3000,66(B),0( ),723200,49(1),32( )
20160913,135448055,135448055,110349000,430168.PT,430168,20160913,99997026,89000,10710,83(S),0( ),720700,49(1),32( )
20160913,135448055,135448055,101239000,430170.PT,430170,20160913,99997787,38000,10000,83(S),0( ),725300,49(1),32( )
20160913,135448055,135448055,133834000,430173.PT,430173,20160913,99996204,152800,1000,66(B),0( ),721100,49(1),32( )
20160913,135448055,135448055,134111000,430178.PT,430178,20160913,99996169,269800,5000,83(S),0( ),721800,49(1),32( )
20160913,135448055,135448055,131749000,430182.PT,430182,20160913,99996454,75000,10000,66(B),0( ),720800,49(1),32( )
20160913,135448055,135448055,130000000,430184.PT,430184,20160913,99996710,25000,20000,83(S),0( ),726400,49(1),32( )
20160913,135448055,135448055,110909000,430188.PT,430188,20160913,99996965,10000,20000,66(B),0( ),721700,49(1),32( )
20160913,135448055,135448055,100219000,430197.PT,430197,20160913,99998045,60000,5000,83(S),0( ),720200,49(1),32( )
20160913,135448055,135448055,95041000,430199.PT,430199,20160913,99998379,120000,10000,83(S),0( ),722400,49(1),32( )
20160913,135448055,135448055,101216000,430200.PT,430200,20160913,99997796,68600,2000,83(S),0( ),721800,49(1),32( )
20160913,135448055,135448055,101431000,430210.PT,430210,20160913,99997753,38800,44000,83(S),0( ),721300,49(1),32( )
20160913,135448055,135448055,94359000,430216.PT,430216,20160913,99998641,485100,1250,83(S),0( ),721000,49(1),32( )
20160913,135448055,135448055,133052000,430230.PT,430230,20160913,99996300,21100,1000,66(B),0( ),726100,49(1),32( )
20160913,135448055,135448055,135041000,430250.PT,430250,20160913,99996081,50000,45000,83(S),0( ),724800,49(1),32( )
20160913,135448055,135448055,102102000,430264.PT,430264,20160913,99997657,15600,3000,83(S),0( ),725000,49(1),32( )
20160913,135448055,135448055,95748000,430269.PT,430269,20160913,99998165,40000,1000,83(S),0( ),720700,49(1),32( )
20160913,135448055,135448055,130000000,430270.PT,430270,20160913,99996714,400000,1000,66(B),0( ),726100,49(1),32( )
20160913,135448055,135448055,102334000,430271.PT,430271,20160913,99997614,58000,30000,83(S),0( ),722100,49(1),32( )
20160913,135448055,135448055,112823000,430278.PT,430278,20160913,99996773,120000,8250,83(S),0( ),720100,49(1),32( )
20160913,135448055,135448055,135202000,430283.PT,430283,20160913,99996070,19000,6000,83(S),0( ),725300,49(1),32( )
20160913,135448055,135448055,110524000,430312.PT,430312,20160913,99997008,10500,10000,66(B),0( ),721700,49(1),32( )
20160913,135448055,135448055,93206000,430320.PT,430320,20160913,99999196,28900,13000,83(S),0( ),720800,49(1),32( )
20160913,135448055,135448055,130000000,430329.PT,430329,20160913,99996737,28000,5000,83(S),0( ),723500,49(1),32( )
20160913,135448055,135448055,102636000,430333.PT,430333,20160913,99997562,120000,280,83(S),0( ),720800,49(1),32( )
20160913,135448055,135448055,110119000,430388.PT,430388,20160913,99997055,50000,34000,83(S),0( ),721700,49(1),32( )
20160913,135448055,135448055,94225000,430393.PT,430393,20160913,99998708,98800,15000,83(S),0( ),721100,49(1),32( )
20160913,135448055,135448055,110011000,430402.PT,430402,20160913,99997074,57600,1000,83(S),0( ),721100,49(1),32( )
20160913,135448055,135448055,93703000,430414.PT,430414,20160913,99998945,40000,10000,83(S),0( ),723700,49(1),32( )
20160913,135448055,135448055,111133000,430421.PT,430421,20160913,99996939,180000,5000,83(S),0( ),723200,49(1),32( )
20160913,135448055,135448055,104621000,430434.PT,430434,20160913,99997255,31800,1000,83(S),0( ),720300,49(1),32( )
