日期,本地时间,服务器时间,交易所时间,万得代码,原始代码,业务发生日(自然日),交易日,状态,昨持仓,昨收盘价,昨结算,开盘价,最高价,最低价,最新价,成交总量,成交总金额,持仓总量,今收盘,今结算,涨停价,跌停价,昨虚实度,今虚实度,申卖价,申卖量,申买价,申买量
20160922,122122329,122122320,112945000,ag.SHF,ag,20160922,20160922,0( ),643102,43450000,43080000,44000000,44300000,43520000,44080000,825852,54483828780,637496,44080000,0,45660000,40490000,0,0,44080000 0 0 0 0 ,23 0 0 0 0 ,44070000 0 0 0 0 ,20 0 0 0 0 
20160922,122122338,122122329,112932000,ag00.SHF,ag00,20160922,20160922,0( ),2254,42950000,42770000,43400000,43850000,43400000,43780000,80,5246070,2250,43780000,0,45330000,40200000,0,0,43730000 0 0 0 0 ,7 0 0 0 0 ,43640000 0 0 0 0 ,6 0 0 0 0 
20160922,122122338,122122338,112932000,ag01.SHF,ag01,20160922,20160922,0( ),2038,43150000,42860000,43580000,44010000,43580000,43920000,72,4733400,2066,43920000,0,45430000,40280000,0,0,43890000 0 0 0 0 ,9 0 0 0 0 ,43810000 0 0 0 0 ,15 0 0 0 0 
20160922,122122339,122122339,112945000,ag02.SHF,ag02,20160922,20160922,0( ),643102,43450000,43080000,44000000,44300000,43520000,44080000,825852,54483828780,637496,44080000,0,45660000,40490000,0,0,44080000 0 0 0 0 ,23 0 0 0 0 ,44070000 0 0 0 0 ,20 0 0 0 0 
20160922,122122339,122122339,112940500,ag03.SHF,ag03,20160922,20160922,0( ),1048,43510000,43190000,43860000,44400000,43680000,44260000,582,38534700,1096,44260000,0,45780000,40590000,0,0,44280000 0 0 0 0 ,13 0 0 0 0 ,44200000 0 0 0 0 ,5 0 0 0 0 
20160922,122122339,122122339,112932000,ag04.SHF,ag04,20160922,20160922,0( ),562,43810000,43410000,44080000,44650000,44080000,44450000,72,4799610,556,44450000,0,46010000,40800000,0,0,44400000 0 0 0 0 ,5 0 0 0 0 ,44270000 0 0 0 0 ,6 0 0 0 0 
20160922,122122339,122122339,112932000,ag1610.SHF,ag1610,20160922,20160922,0( ),2254,42950000,42770000,43400000,43850000,43400000,43780000,80,5246070,2250,43780000,0,45330000,40200000,0,0,43730000 0 0 0 0 ,7 0 0 0 0 ,43640000 0 0 0 0 ,6 0 0 0 0 
20160922,122122339,122122339,112932000,ag1611.SHF,ag1611,20160922,20160922,0( ),2038,43150000,42860000,43580000,44010000,43580000,43920000,72,4733400,2066,43920000,0,45430000,40280000,0,0,43890000 0 0 0 0 ,9 0 0 0 0 ,43810000 0 0 0 0 ,15 0 0 0 0 
20160922,122122342,122122342,112945000,ag1612.SHF,ag1612,20160922,20160922,0( ),643102,43450000,43080000,44000000,44300000,43520000,44080000,825852,54483828780,637496,44080000,0,45660000,40490000,0,0,44080000 0 0 0 0 ,23 0 0 0 0 ,44070000 0 0 0 0 ,20 0 0 0 0 
20160922,122122342,122122342,112940500,ag1701.SHF,ag1701,20160922,20160922,0( ),1048,43510000,43190000,43860000,44400000,43680000,44260000,582,38534700,1096,44260000,0,45780000,40590000,0,0,44280000 0 0 0 0 ,13 0 0 0 0 ,44200000 0 0 0 0 ,5 0 0 0 0 
20160922,122122342,122122342,112932000,ag1702.SHF,ag1702,20160922,20160922,0( ),562,43810000,43410000,44080000,44650000,44080000,44450000,72,4799610,556,44450000,0,46010000,40800000,0,0,44400000 0 0 0 0 ,5 0 0 0 0 ,44270000 0 0 0 0 ,6 0 0 0 0 
20160922,122122342,122122342,112912500,ag1703.SHF,ag1703,20160922,20160922,0( ),112,43800000,43330000,44220000,44740000,44220000,44740000,4,266880,112,44740000,0,45920000,40730000,0,0,44750000 0 0 0 0 ,9 0 0 0 0 ,44360000 0 0 0 0 ,1 0 0 0 0 
20160922,122122342,122122342,112931000,ag1704.SHF,ag1704,20160922,20160922,0( ),968,43450000,43450000,44700000,44700000,44700000,44700000,2,134100,968,44700000,0,46050000,40840000,0,0,44890000 0 0 0 0 ,3 0 0 0 0 ,44460000 0 0 0 0 ,9 0 0 0 0 
20160922,122122342,122122342,112935500,ag1705.SHF,ag1705,20160922,20160922,0( ),84,43890000,43750000,44740000,44740000,44650000,44650000,22,1475280,92,44650000,0,46370000,41120000,0,0,45260000 0 0 0 0 ,15 0 0 0 0 ,44430000 0 0 0 0 ,15 0 0 0 0 
20160922,122122342,122122342,112944000,ag1706.SHF,ag1706,20160922,20160922,0( ),21858,44440000,44070000,44810000,45260000,44500000,45040000,11176,753784470,22136,45040000,0,46710000,41420000,0,0,45050000 0 0 0 0 ,3 0 0 0 0 ,45030000 0 0 0 0 ,9 0 0 0 0 
20160922,122122342,122122342,112940500,ag1707.SHF,ag1707,20160922,20160922,0( ),82,44100000,43980000,0,0,0,44100000,0,0,82,44100000,0,46610000,41340000,0,0,45430000 0 0 0 0 ,4 0 0 0 0 ,45130000 0 0 0 0 ,2 0 0 0 0 
